SproutN,BunchN,GrapeW,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph
-0.02429187,-0.586965886,-0.899763562,0.033749091,0.103224903,-0.086061198,0.017900201,-0.169744723,0.063473153,0.002719404,0.06366336,0.012566852,0.12565373,0.183070179
0.050040701,-0.183172933,-0.060256258,0.392190073,0.265599753,0.161536425,0.209129092,0.037666674,-0.292479888,0.091249412,0.048619636,0.11732071,-0.250286463,-0.066847133
0.290626058,1.102716844,1.119641863,0.121321751,0.024325974,0.150334801,0.08578098,0.185094149,0.005325137,-0.276570866,-0.023623592,-0.011758126,0.064647002,0.367146415
-0.093101139,-0.598244291,-0.576036995,-0.051983404,-0.125208552,0.043662381,0.088572872,0.04587622,-0.096188487,-0.164705675,0.040965924,0.016691416,0.2497385,-0.192147067
0.03623836,-0.282621652,-0.527552051,-0.286420429,-0.032482495,-0.15726924,-0.041637627,-0.403866303,-0.03908339,0.036017428,-0.019957603,0.015745781,0.107479005,0.155336965
0.147062171,-0.754523884,0.195945572,0.755817682,0.083717161,0.131686599,0.059612656,-0.060505722,-0.093532819,-0.002402428,-0.075793872,0.031563531,-0.82081453,-0.636614515
-0.093147952,0.337978273,-0.268430642,-0.055179906,-0.143343375,-0.103990148,-0.132313368,-0.283802256,0.32935859,0.212394583,-0.053156982,-0.076991548,0.807892364,0.515188584
0.287628876,0.685685807,0.32076511,0.042872818,-0.240913331,0.12167133,-0.13637488,0.102354522,0.061485163,-0.306164564,0.198864854,0.005999832,0.266897104,0.032684152
0.046748186,0.064326717,0.482579744,-0.051353304,-0.062783579,0.062641792,0.033493267,-0.03639407,0.054407862,-0.120320302,-0.053474864,-0.002035669,-0.519550175,-0.398967336
0.335082034,0.065691137,0.343189458,0.385806293,0.139010559,0.143696642,0.112217087,0.038027761,-0.274611654,-0.084322092,-0.212687036,0.013959861,-0.138510453,-0.24329727
-0.244229909,-0.417851243,-1.238909613,-0.560349582,-0.149852852,-0.24036717,-0.197957065,-0.129217912,0.205332914,-0.079548161,0.046977428,-0.044651777,0.378825365,0.108993076
0.257716483,0.084255389,0.381916493,0.141813686,0.100580408,-0.052443997,-0.082878118,0.080577859,-0.278426823,0.126567832,-0.025941297,0.09073615,-0.462986768,-0.448178415
0.090589016,-0.535100021,-0.28373911,0.508160031,0.12344553,0.162379786,0.219523237,0.118615371,-0.102491978,0.062127632,-0.080910279,0.013861793,-0.099669125,-0.098189242
0.194073957,1.039671986,1.477672093,0.503117626,0.169445776,0.170167775,0.080265924,-0.136768684,-0.080865339,0.044040142,-0.193594379,-0.00341354,-0.445169332,-0.717160714
0.094826375,-0.213901352,0.409616351,0.158479382,-0.054213006,0.102444193,0.131918054,0.097367153,-0.050712209,-0.003906724,-0.073343163,-0.022598233,-0.300095715,-0.568145912
-0.020766337,-0.285946538,-0.732205616,0.214128911,0.132511524,0.012431537,0.007129585,0.003912716,-0.302307645,0.090167163,0.261999848,0.10143669,0.027652236,-0.128624588
-0.044995471,0.311203497,-0.203642769,-0.00053075,-0.017371112,-0.006564426,0.142517871,-0.024690162,0.180900343,0.008905971,0.03124543,-0.037429304,0.080819405,-0.050192465
-0.193425667,-0.192396379,-0.417084263,-0.379540989,-0.148189137,-0.033535571,-0.152919041,-0.200190674,-0.052579206,-0.164853618,0.118030074,0.011756729,-0.035616496,-0.008322145
0.00883577,-0.368246004,0.217384437,0.246169198,-0.051651051,-0.087765643,-0.050117676,0.129219989,-0.096325638,-0.118546242,-0.016727216,0.025464033,-0.234465214,0.038431875
-0.050615363,-0.611769678,-0.685969766,0.672797053,0.127939591,0.034626836,-0.046467464,-0.249285963,-0.028451337,0.163548034,0.030085061,0.014012193,0.09337103,0.033312424
-0.134603797,0.070963116,0.534525689,0.634799225,0.124319574,0.029074597,0.080990527,0.007768069,-0.068332489,0.048767028,-0.085299539,-0.000225559,-0.49835629,-0.330130763
0.053743486,0.027077376,-0.574015944,0.233563004,0.01441015,-0.104875892,0.120182881,-0.064368533,-0.065139049,0.158788958,0.0872904,0.021740138,0.265778379,0.284005552
-0.217970188,0.155797949,0.082007051,-0.831491971,-0.152409034,-0.089054321,-0.137194295,-0.196725278,0.420074634,0.020517866,-0.098634713,-0.117483567,0.613600495,0.402005622
0.179001248,0.727600856,1.074035336,0.538231273,0.164000176,0.020928372,0.112200684,0.069977741,0.180509258,0.192220312,-0.006216969,-0.021468107,0.086032901,0.22892619
0.090303627,0.186281761,0.649403953,0.438946447,0.122810801,0.039139402,0.055571008,0.102544313,-0.387850749,0.097960245,-0.002198135,0.072251321,-0.517422378,-0.304344667
-0.188237116,0.206552528,0.354803424,0.175559438,-0.128131897,-0.016654337,-0.065511198,0.067788701,0.199151786,0.138028888,-0.108047965,-0.01875263,-0.250240478,-0.172829064
0.125253183,0.400842791,0.525500274,0.289049623,0.144855819,0.154163219,0.143430607,-0.062610577,-0.07706695,0.110851104,-0.137173637,0.033155845,-0.799649624,-0.590012618
0.428340445,0.397359172,0.145681545,0.06032669,0.057724241,-0.009277106,0.111509997,-0.082997918,-0.232788082,0.01418589,0.114883938,0.096393657,0.122082179,0.477392484
-0.104608115,0.155919104,0.359031027,-0.104280572,-0.129789294,-0.017155718,-0.07838265,-0.02666725,0.032128202,-0.009392642,-0.05331377,-0.026396168,-0.220952927,-0.270257007
0.169815016,0.176828501,0.458030821,0.082464583,0.108314635,0.004993753,0.094169398,-0.051858174,-0.243661238,-0.347135206,0.06433024,0.058100358,-0.37811159,-0.517400759
0.110804887,-0.189571685,-0.347477444,-0.381669906,-0.009828705,-0.076594459,-0.050973657,-0.16865105,-0.008534305,-0.074016176,0.012684138,0.009470196,-0.138285398,-0.179751561
0.027306575,0.436233572,0.570743286,-0.30218512,-0.07383221,-0.005408643,-0.072233976,0.101562982,-0.049207356,0.045661983,0.030823048,0.010739084,-0.158728142,0.006219876
-0.370015853,-0.458663293,-0.821191327,-0.800675628,-0.064371952,-0.051813222,-0.028872963,-0.017854013,-0.074919851,0.212989656,0.119030017,0.036316672,0.153583527,0.111671108
0.240363831,-0.149321055,-0.59933309,-0.126827083,0.040549042,-0.009042909,-0.008447753,-0.131205328,-0.087838752,0.233635086,0.139785671,0.046428046,0.378719749,-0.070905364
-0.280038706,-0.654973501,-0.649941399,-0.527157487,-0.05537311,-0.016910445,-0.057885443,0.027168449,-0.059596614,0.021884358,0.048248707,0.00201802,0.615449934,0.383238294
0.023542098,-0.32696078,-0.351301776,0.260369315,0.104085971,-0.044159827,0.114460637,-0.121090683,-0.012424393,0.116319453,-0.134026948,0.00723112,-0.306990468,-0.336715599
-0.550717341,-0.305411525,-0.130407439,-0.10716818,0.069249243,-0.167474027,-0.060158142,-0.103628156,0.194960331,-0.072966174,0.072872624,-0.021502143,-0.087696465,0.151933899
-0.299645293,-0.305974275,-0.838882192,-0.322360124,-0.034444164,-0.098299036,-0.127965775,-0.17781629,0.085563924,0.076867917,0.261412537,-0.009357498,0.396676153,0.372019752
-0.244296835,-0.524507435,-0.481496503,-0.562041374,-0.049087119,-0.095848731,-0.144978885,-0.015505411,-0.025761336,-0.071489721,0.078354698,0.011516797,0.592021933,0.165689241
0.216739309,0.199159346,0.819617684,0.631442549,0.113230783,0.222233332,0.193276004,0.127633365,-0.035146758,0.005231504,-0.01068938,0.046557028,-0.272449551,-0.200662264
0.272809299,-0.092114077,0.046933332,-0.150090864,0.106855058,0.064804105,0.080344551,0.082974062,-0.023231806,-0.05553374,-0.025877872,-0.019409745,0.150265694,0.173723272
0.214440791,0.603621419,-0.164623321,0.172327008,0.166656706,-0.055012268,0.090450865,-0.048561776,0.101071443,-0.222190535,-0.02192605,-0.025585883,0.01980577,0.115240273
-0.513524856,0.045190336,0.079627796,-1.121716238,-0.400263711,-0.116113825,-0.266260269,-0.206115154,0.254214043,-0.089999946,0.016081676,-0.074478791,-0.023789474,0.058419513
0.221199783,0.389461857,0.268177914,0.645313471,0.183327077,0.017489172,0.219167539,0.203820319,-0.022942838,0.173203765,-0.066911119,0.020287784,-0.682376606,-0.407698743
-0.013714893,0.587051782,0.521246457,0.49930208,0.006944629,-0.10319411,0.084581086,0.095757256,-0.028196447,-0.106301518,-0.046439147,-0.013444355,0.206108885,0.072331649
-0.144764163,-0.259312962,-0.542310253,-0.993294896,-0.16853187,-0.070585769,-0.221562515,-0.123277733,0.158664195,-0.287648089,-0.099455138,-0.073180679,0.134126794,0.137986583
0.101967888,-0.26899476,-0.47103996,-0.050138907,-0.054737537,0.131505275,-0.013753243,0.068068749,-0.051000663,-0.05471167,0.095937289,0.039217865,0.58272641,0.476124764
-0.134883285,-0.479031685,-0.532136241,-0.638770339,-0.092681387,0.022787873,-0.142925086,-0.168180774,0.014399538,0.20869712,0.079160799,-0.004380964,0.399275905,-0.262838573
0.079823376,-0.075513082,-0.399261475,-0.003358919,0.038937344,0.188415396,0.078023321,0.046016332,-0.179779741,-0.110400515,0.081341377,0.062710639,-0.10035404,0.004658565
-0.05676151,-0.296353843,-0.583697202,0.388149488,0.193735423,-0.01234404,0.116483214,0.002802729,-0.220239129,0.537772111,0.000545452,0.08197025,0.218228915,0.341433597
-0.095632888,-0.332522422,-0.128080548,-0.175865289,-0.088929609,0.187833135,-0.13793392,-0.09909643,-0.005577331,-0.071146854,-0.038773775,-0.008759313,-0.114531492,-0.238340799
-0.11225831,0.057588953,-0.436481354,-0.552425464,-0.149876598,-0.168421855,-0.150283138,-0.059793258,-0.035681241,0.013577062,0.051768024,-0.034066974,0.107444916,-0.094502133
-0.279479093,0.03538175,0.136350256,-0.61799966,-0.303376258,-0.004939947,-0.194327887,0.032232207,0.009780704,0.017974818,0.010468635,-0.054586427,0.568904752,0.321116474
-0.204050886,-0.059846916,-0.358358867,0.191500251,-0.059059093,-0.185363656,-0.068353348,0.076245839,0.100627612,-0.005345143,0.002617335,-0.009221295,-0.149418796,0.182948011
-0.009996982,0.486770108,0.751669854,0.747536739,-0.001187122,0.081659637,0.09439169,0.135454391,0.085688645,0.057228406,-0.046537549,0.002208125,0.098382001,-0.047030591
-0.090244572,-0.108259291,0.749536109,0.544828052,0.077298687,-0.022228168,0.17014535,0.051158976,-0.115635529,0.055449743,0.062457787,0.040964568,-0.476203394,-0.38586403
0.04737149,0.194789671,-0.054895077,-0.048726552,0.083074133,-0.021388774,-0.047710686,-0.186991099,-0.022058308,-0.14863608,0.03710082,-0.000822709,0.13115703,-0.053279732
-0.101620241,-0.308044575,-0.099084404,0.445620613,0.096335865,-0.032090216,0.032050528,-0.063704214,-0.117601177,-0.117801951,0.038761459,0.031041057,-0.002169612,-0.046737952
0.079402798,-0.069995247,0.002559557,0.130408339,-0.136430801,0.039895827,0.043758719,0.223447416,-0.080930945,-0.258176596,0.086578323,0.030748054,0.222428317,0.113161726
-0.263370504,-0.3857176,-0.542769522,-0.381401497,-0.210567958,-0.017751356,-0.139347676,-0.080299267,0.036862337,-0.132340828,0.036434818,-0.028098261,-0.098844454,0.342039008
-0.32101985,-0.577101165,0.082131512,-0.103872031,-0.118085952,0.120303229,-0.061658498,0.064737472,-0.14628592,0.070923315,0.00678637,0.022918288,-0.034509011,-0.064523792
-0.140308257,0.038066501,-0.177504194,-0.072678697,-0.130233614,-0.032050017,0.042717929,0.112154826,0.174382831,0.008484069,-0.010628251,-0.002647556,-0.280827249,-0.173069409
-0.145527978,-0.263763957,0.618475602,0.657116834,0.198437182,0.280347036,0.266976943,0.102087461,-0.022516879,-0.064579447,-0.166462016,-0.020469339,-0.498684883,-0.261939658
-0.290612355,-0.560557169,-1.04295054,-1.009745837,-0.210568652,-0.011067753,-0.216022664,0.006124584,-0.007136964,-0.030986577,0.055688114,0.007070786,0.895630559,0.379682024
-0.09480088,-0.614784835,-0.298964084,0.078297766,-0.031107218,0.203672304,0.091155548,0.170206772,-0.034813824,-0.054190398,0.093536549,0.04121246,-0.229476596,-0.020914139
-0.156764412,-0.341676188,0.40925528,0.418201366,0.118076986,0.094529076,-0.029782454,0.124485471,-0.072722513,0.105521345,-0.143922064,0.014441317,-0.228074168,-0.311193083
-0.28989161,-0.286158928,-0.780377046,-0.692164625,-0.165008943,-0.184993968,-0.197540645,-0.182748426,0.113164742,0.173272059,0.097962132,-0.027806,0.687712567,0.457191347
0.148236675,0.442056412,0.84192118,0.268148019,0.049021326,-0.090081534,0.02923831,0.168015742,-0.113522808,-0.053834299,-0.048519899,0.03362202,-0.162635925,0.021870632
0.540288811,0.74474843,1.549945917,1.140819095,0.350427266,0.30807277,0.417577956,0.108570876,-0.185991411,-0.025732588,-0.091417047,0.033520757,-0.772657307,-0.747019026
-0.17043357,-0.642262291,-1.108136888,-0.741578358,-0.077503978,-0.077378299,0.071596864,0.322326054,-0.142076351,-0.07956175,0.146292931,0.006194132,0.582337197,0.322852454
0.366916261,0.238264656,0.55249073,0.699089744,0.111801066,0.037335749,-0.061847294,0.116837312,-0.033143226,-0.086689769,0.093664824,0.04546195,0.350214213,-0.031950976
0.04829167,-0.130918527,-0.01920044,-0.28669319,-0.093717247,0.052635366,-0.024363661,-0.034245617,0.086220329,0.142326247,0.035289315,-0.010451754,0.711070107,0.340605155
0.175179612,0.57026596,0.746857029,0.24209568,-0.108551573,-0.057479796,-0.027720119,-0.159233949,0.200323208,0.055482345,-0.030934286,-0.059439953,0.522663961,0.255089474
-0.143138096,0.046130099,-0.543605279,-0.274660025,-0.08393653,-0.199767671,-0.1203899,-0.276435934,0.245814732,0.13765702,0.049908563,-0.05648228,0.813618037,0.332612152
-0.326559645,0.087494625,-0.138423282,-0.716457265,-0.190761954,-0.095796568,-0.109264957,-0.039275701,0.133606906,-0.090008283,-0.010533574,-0.034999422,-0.094880473,-0.227279469
0.097494428,-0.233599143,0.564627457,0.404732444,-0.038838766,-0.049702433,-0.003873402,0.158643988,0.039239895,-0.054987251,-0.04273581,-0.009596397,-0.429605675,-0.13462354
0.219437492,0.592873436,0.977522153,0.050674094,-0.116305766,0.056380249,0.011489811,0.076116754,0.165641844,0.073709498,-0.160504851,-0.031399578,-0.193964364,0.013109681
-0.020230048,0.558430866,0.257929935,-0.224616643,-0.14987914,-0.024405286,-0.052554913,-0.015137634,-0.080904492,-0.347017047,0.113110787,0.007891749,-0.172746786,-0.149692337
